,#,Coin,,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV,Last 7 Days
,86,Ethena                          ENA,Buy,$0.1391,0.1%,0.6%,16.4%,43.2%,"$121,352,525","$1,107,612,034","$2,087,782,353",0.53,
,87,Binance Staked SOL                          BNSOL,Buy,$111.96,0.4%,1.3%,17.3%,23.7%,"$16,538,583","$1,051,745,288","$1,051,745,288",1.0,
,88,USDD                          USDD,,$0.9991,0.0%,0.1%,0.0%,0.0%,"$15,880,837","$1,016,796,928","$1,023,755,207",0.99,
,89,Quant                          QNT,Buy,$67.72,0.3%,1.6%,7.6%,14.7%,"$19,058,103","$985,494,077","$990,123,135",1.0,
,90,Cosmos Hub                          ATOM,Buy,$2.00,0.4%,2.1%,9.1%,13.1%,"$33,976,697","$984,312,578","$984,317,544",1.0,
,91,Official Trump                          TRUMP,Buy,$4.21,0.4%,0.1%,11.3%,22.2%,"$195,569,301","$978,369,230","$4,208,061,283",0.23,
,92,Aptos                          APT,Buy,$1.27,0.2%,0.1%,16.9%,33.4%,"$69,433,200","$976,254,234","$1,522,959,089",0.64,
,93,Rocket Pool ETH                          RETH,Buy,"$2,659.04",0.1%,0.6%,20.9%,26.6%,"$855,731","$952,449,914","$952,449,914",1.0,
,94,Algorand                          ALGO,Buy,$0.1064,0.3%,2.6%,10.5%,21.3%,"$38,268,714","$944,924,761","$944,924,761",1.0,
,95,Lombard Staked BTC                          LBTC,Buy,"$78,266.80",0.2%,0.0%,11.2%,14.3%,"$2,680,109","$909,500,746","$909,500,746",1.0,
,96,Kaspa                          KAS,Buy,$0.03347,0.3%,5.5%,14.7%,31.3%,"$33,300,293","$898,595,403","$911,832,534",0.99,
,97,USDtb                          USDTB,,$0.9979,0.1%,0.1%,0.1%,0.1%,"$2,270,403","$890,109,888","$889,528,371",1.0,
,98,Polygon Bridged USDC (Polygon PoS)                          USDC.E,,$0.9997,0.0%,0.0%,0.0%,0.0%,"$27,284,314","$886,713,629","$886,713,629",1.0,
,99,Function FBTC                          FBTC,Buy,"$78,001.81",0.0%,0.2%,11.4%,14.3%,"$279,735","$856,739,134","$856,739,134",1.0,
,100,Flare                          FLR,Buy,$0.01005,0.1%,0.6%,3.7%,12.1%,"$4,992,487","$852,006,320","$1,056,263,449",0.81,
,102,Kinetiq Staked HYPE                          KHYPE,Buy,$36.18,0.1%,10.6%,29.9%,42.6%,"$18,433,484","$820,611,755","$820,611,755",1.0,
,101,Superstate Short Duration U.S. Government Securities Fund (USTB)                          USTB,Buy,$10.98,0.0%,0.0%,0.1%,0.3%,$0.00,"$820,103,803","$821,182,747",1.0,
,103,Render                          RENDER,Buy,$1.57,0.4%,0.7%,13.5%,11.8%,"$66,999,641","$816,670,482","$839,909,071",0.97,
,104,NEXO                          NEXO,Buy,$0.8139,0.9%,0.6%,12.8%,13.7%,"$10,628,185","$814,712,146","$814,712,146",1.0,
,105,Midnight                          NIGHT,,$0.04900,0.1%,4.3%,17.7%,46.0%,"$14,163,358","$814,411,173","$1,176,937,321",0.69,
,106,Filecoin                          FIL,Buy,$1.08,0.1%,1.7%,13.7%,28.0%,"$82,681,382","$810,154,837","$2,125,537,231",0.38,
,107,syrupUSDT                          SYRUPUSDT,,$1.11,0.0%,0.0%,0.0%,0.3%,"$746,127","$807,855,953","$807,855,953",1.0,
,108,Arbitrum                          ARB,Buy,$0.1361,0.1%,1.3%,18.6%,36.1%,"$102,019,545","$794,170,580","$1,362,965,295",0.58,
,110,VeChain                          VET,Buy,$0.008571,0.3%,1.0%,14.1%,28.1%,"$22,036,688","$737,753,085","$737,753,085",1.0,
,109,WrappedM by M0                          WM,,$0.9937,0.3%,0.5%,0.6%,0.6%,"$2,530,465","$733,553,753","$733,553,878",1.0,
,111,Janus Henderson Anemoy AAA CLO Fund                          JAAA,Buy,$1.02,0.0%,0.0%,0.1%,0.4%,$0.00,"$727,373,912","$727,373,912",1.0,
,112,XDC Network                          XDC,Buy,$0.03771,0.8%,0.7%,2.0%,28.2%,"$36,894,391","$719,726,678","$1,434,475,892",0.5,
,113,Morpho                          MORPHO,Buy,$1.28,0.1%,8.8%,5.3%,9.4%,"$29,528,850","$701,285,350","$1,285,184,517",0.55,
,114,Ondo US Dollar Yield                          USDY,,$1.10,0.2%,0.3%,0.5%,1.6%,"$1,444,684","$690,044,354","$1,375,423,973",0.5,
,115,OUSG                          OUSG,Buy,$114.17,0.0%,0.0%,0.1%,0.3%,$0.00,"$679,046,904","$679,046,904",1.0,
,116,Spiko EU T-Bills Money Market Fund                          EUTBL,Buy,$1.23,0.0%,0.2%,1.1%,0.7%,$0.00,"$662,203,797","$662,203,797",1.0,
,117,Mantle Staked Ether                          METH,Buy,"$2,495.26",0.1%,0.3%,21.2%,26.5%,"$5,646,519","$661,434,447","$661,434,447",1.0,
,118,Jupiter                          JUP,Buy,$0.1991,0.2%,5.3%,3.5%,6.9%,"$63,309,042","$646,812,595","$1,368,637,290",0.47,
,119,Solv Protocol BTC                          SOLVBTC,Buy,"$77,887.37",0.1%,0.1%,11.1%,14.4%,"$435,976","$643,731,404","$643,731,207",1.0,
,120,Bonk                          BONK,Buy,$0.057219,0.1%,0.5%,16.2%,42.7%,"$70,263,322","$635,675,229","$635,675,229",1.0,
,121,Polygon PoS Bridged DAI (Polygon POS)                          DAI,Buy,$0.9998,0.0%,0.0%,0.0%,0.0%,"$15,599,592","$634,001,841","$634,047,335",1.0,
,122,Liquid Staked ETH                          LSETH,Buy,"$2,446.55",0.1%,0.4%,21.5%,26.8%,"$313,798","$629,373,717","$629,373,717",1.0,
,123,USDai                          USDAI,,$0.9995,0.0%,0.0%,0.0%,0.1%,"$5,879,133","$619,597,640","$619,597,640",1.0,
